id,description,date,number,lat,lng,count
247,SCHOOL VISIT ,11/6/19,304,42.468514,-83.439433,1
248,SCHOOL VISIT ,11/7/19,244,42.489376,-83.540248,1
249,SCHOOL VISIT ,11/7/19,298,42.465061,-83.461523,1
250,SCHOOL VISIT ,11/7/19,244,42.465061,-83.461523,1
251,SCHOOL VISIT ,11/8/19,292,42.463211,-83.490985,1
252,SCHOOL VISIT ,11/8/19,276,42.468514,-83.439433,1
253,SCHOOL VISIT ,11/8/19,300,42.450681,-83.504154,1
254,SCHOOL VISIT ,11/11/19,217,42.489376,-83.540248,1
255,SCHOOL VISIT ,11/11/19,298,42.473913,-83.497865,1
256,SCHOOL VISIT ,11/11/19,298,42.468959,-83.522221,1
257,SCHOOL VISIT ,12/2/19,292,42.472708,-83.504254,1
258,SCHOOL VISIT ,12/2/19,292,42.489376,-83.540248,1
259,SCHOOL VISIT ,12/2/19,292,42.468959,-83.522221,1
260,SCHOOL VISIT ,12/2/19,291,42.493266,-83.528514,1
261,SCHOOL VISIT ,12/2/19,291,42.481261,-83.516392,1
262,SCHOOL VISIT ,12/2/19,276,42.461427,-83.446007,1
263,SCHOOL VISIT ,12/2/19,301,42.521202,-83.469492,1
264,SCHOOL VISIT ,12/2/19,301,42.512892,-83.449649,1
265,SCHOOL VISIT ,12/2/19,276,42.468514,-83.439433,1
266,SCHOOL VISIT ,12/2/19,301,42.512892,-83.449649,1
267,SCHOOL VISIT ,12/2/19,292,42.477497,-83.495401,1
268,SCHOOL VISIT ,12/2/19,291,42.489376,-83.540248,1
269,SCHOOL VISIT ,12/3/19,291,42.489376,-83.540248,1
270,SCHOOL VISIT ,12/3/19,263,42.508257,-83.454752,1
271,SCHOOL VISIT ,12/3/19,263,42.521202,-83.469492,1
272,SCHOOL VISIT ,12/3/19,292,42.479326,-83.495504,1
273,SCHOOL VISIT ,12/4/19,230,42.489376,-83.540248,1
274,SCHOOL VISIT ,12/4/19,230,42.450681,-83.504154,1
275,SCHOOL VISIT ,12/4/19,256,42.512892,-83.449649,1
276,SCHOOL VISIT ,12/4/19,244,42.484082,-83.457421,1
277,SCHOOL VISIT ,12/4/19,256,42.508257,-83.454752,1
278,SCHOOL VISIT ,12/4/19,217,42.489376,-83.540248,1
279,SCHOOL VISIT ,12/4/19,216,42.521202,-83.469492,1
280,SCHOOL VISIT ,12/4/19,301,42.461427,-83.446007,1
281,SCHOOL VISIT ,12/4/19,217,42.479326,-83.495504,1
282,SCHOOL VISIT ,12/4/19,303,42.508257,-83.454752,1
283,SCHOOL VISIT ,12/4/19,217,42.463211,-83.490985,1
284,SCHOOL VISIT ,12/4/19,244,42.465061,-83.461523,1
285,SCHOOL VISIT ,12/4/19,230,42.486569,-83.535075,1
286,SCHOOL VISIT ,12/5/19,230,42.489376,-83.540248,1
287,SCHOOL VISIT ,12/5/19,230,42.468959,-83.522221,1
288,SCHOOL VISIT ,12/5/19,256,42.521202,-83.469492,1
289,SCHOOL VISIT ,12/5/19,298,42.484082,-83.457421,1
290,SCHOOL VISIT ,12/5/19,298,42.468959,-83.522221,1
291,SCHOOL VISIT ,12/5/19,217,42.481261,-83.516392,1
292,SCHOOL VISIT ,12/5/19,303,42.468959,-83.522221,1
293,SCHOOL VISIT ,12/5/19,240,42.468959,-83.522221,1
294,SCHOOL VISIT ,12/5/19,240,42.47843,-83.495453,1
295,SCHOOL VISIT ,12/6/19,292,42.479326,-83.495504,1
296,SCHOOL VISIT ,12/6/19,292,42.450681,-83.504154,1
297,SCHOOL VISIT ,12/6/19,291,42.489376,-83.540248,1
298,SCHOOL VISIT ,12/6/19,276,42.468514,-83.439433,1
299,SCHOOL VISIT ,12/7/19,292,42.476463,-83.497671,1
300,SCHOOL VISIT ,12/7/19,292,42.463211,-83.490985,1
301,SCHOOL VISIT ,12/9/19,230,42.489376,-83.540248,1
302,SCHOOL VISIT ,12/9/19,253,42.468514,-83.439433,1
303,SCHOOL VISIT ,12/9/19,253,42.484082,-83.457421,1
304,SCHOOL VISIT ,12/9/19,298,42.468959,-83.522221,1
305,SCHOOL VISIT ,12/9/19,256,42.521202,-83.469492,1
306,SCHOOL VISIT ,12/9/19,216,42.512892,-83.449649,1
307,SCHOOL VISIT ,12/9/19,217,42.450681,-83.504154,1
308,SCHOOL VISIT ,12/9/19,230,42.450681,-83.504154,1
309,SCHOOL VISIT ,12/9/19,216,42.508257,-83.454752,1
310,SCHOOL VISIT ,12/9/19,303,42.465061,-83.461523,1
311,SCHOOL VISIT ,12/9/19,217,42.473913,-83.497865,1
312,SCHOOL VISIT ,12/9/19,303,42.461427,-83.446007,1
313,SCHOOL VISIT ,12/9/19,298,42.465061,-83.461523,1
314,SCHOOL VISIT ,12/9/19,253,42.463211,-83.490985,1
315,SCHOOL VISIT ,12/9/19,298,42.484082,-83.457421,1
316,SCHOOL VISIT ,12/9/19,303,42.484082,-83.457421,1
317,SCHOOL VISIT ,12/9/19,256,42.508257,-83.454752,1
318,SCHOOL VISIT ,12/9/19,216,42.521202,-83.469492,1
319,SCHOOL VISIT ,12/9/19,230,42.463211,-83.490985,1
320,SCHOOL VISIT ,12/10/19,253,42.484082,-83.457421,1
321,SCHOOL VISIT ,12/10/19,216,42.512892,-83.449649,1
322,SCHOOL VISIT ,12/10/19,253,42.461427,-83.446007,1
323,SCHOOL VISIT ,12/10/19,298,42.465061,-83.461523,1
324,SCHOOL VISIT ,12/10/19,216,42.521202,-83.469492,1
325,SCHOOL VISIT ,12/10/19,298,42.484082,-83.457421,1
326,SCHOOL VISIT ,12/10/19,253,42.479326,-83.495504,1
327,SCHOOL VISIT ,12/10/19,216,42.508257,-83.454752,1
328,SCHOOL VISIT ,12/10/19,256,42.508257,-83.454752,1
329,SCHOOL VISIT ,12/10/19,298,42.468959,-83.522221,1
330,SCHOOL VISIT ,12/10/19,253,42.463211,-83.490985,1
331,SCHOOL VISIT ,12/10/19,303,42.468959,-83.522221,1
332,SCHOOL VISIT ,12/10/19,303,42.489376,-83.540248,1
333,SCHOOL VISIT ,12/10/19,240,42.47843,-83.495453,1
334,SCHOOL VISIT ,12/10/19,303,42.473913,-83.497865,1
335,SCHOOL VISIT ,12/10/19,256,42.521202,-83.469492,1
336,SCHOOL VISIT ,12/11/19,291,42.493266,-83.528514,1
337,SCHOOL VISIT ,12/11/19,291,42.489376,-83.540248,1
338,SCHOOL VISIT ,12/11/19,260,42.508257,-83.454752,1
339,SCHOOL VISIT ,12/11/19,291,42.481261,-83.516392,1
340,SCHOOL VISIT ,12/11/19,292,42.479326,-83.495504,1
341,SCHOOL VISIT ,12/11/19,292,42.486569,-83.535075,1
342,SCHOOL VISIT ,12/11/19,301,42.508257,-83.454752,1
343,SCHOOL VISIT ,12/11/19,292,42.489376,-83.540248,1
344,SCHOOL VISIT ,12/12/19,263,42.521202,-83.469492,1
345,SCHOOL VISIT ,12/12/19,263,42.508257,-83.454752,1
346,SCHOOL VISIT ,12/12/19,292,42.477863,-83.495421,1
347,SCHOOL VISIT ,1/13/19,271,42.484082,-83.457421,1
348,SCHOOL VISIT ,1/14/19,291,42.450681,-83.504154,1
349,SCHOOL VISIT ,1/14/19,216,42.521202,-83.469492,1
350,SCHOOL VISIT ,1/14/19,230,42.461427,-83.446007,1
351,SCHOOL VISIT ,1/15/19,291,42.450681,-83.504154,1
352,SCHOOL VISIT ,1/16/19,245,42.450681,-83.504154,1
353,SCHOOL VISIT ,1/17/19,217,42.508257,-83.454752,1
354,SCHOOL VISIT ,1/17/19,271,42.461427,-83.446007,1
355,SCHOOL VISIT ,1/17/19,271,42.465061,-83.461523,1
356,SCHOOL VISIT ,1/17/19,271,42.468514,-83.439433,1
357,SCHOOL VISIT ,1/17/19,253,42.484082,-83.457421,1
358,SCHOOL VISIT ,1/17/19,271,42.484082,-83.457421,1
