id,offense description,date,number,lat,lng
321,SCHOOL VISIT ,12/10/19,216,42.512892,-83.449649
322,SCHOOL VISIT ,12/10/19,253,42.461427,-83.446007
323,SCHOOL VISIT ,12/10/19,298,42.465061,-83.461523
324,SCHOOL VISIT ,12/10/19,216,42.521202,-83.469492
325,SCHOOL VISIT ,12/10/19,298,42.484082,-83.457421
326,SCHOOL VISIT ,12/10/19,253,42.479326,-83.495504
327,SCHOOL VISIT ,12/10/19,216,42.508257,-83.454752
328,SCHOOL VISIT ,12/10/19,256,42.508257,-83.454752
329,SCHOOL VISIT ,12/10/19,298,42.468959,-83.522221
330,SCHOOL VISIT ,12/10/19,253,42.463211,-83.490985
331,SCHOOL VISIT ,12/10/19,303,42.468959,-83.522221
332,SCHOOL VISIT ,12/10/19,303,42.489376,-83.540248
333,SCHOOL VISIT ,12/10/19,240,42.478430,-83.495453
334,SCHOOL VISIT ,12/10/19,303,42.473913,-83.497865
335,SCHOOL VISIT ,12/10/19,256,42.521202,-83.469492
336,SCHOOL VISIT ,12/11/19,291,42.493266,-83.528514
337,SCHOOL VISIT ,12/11/19,291,42.489376,-83.540248
338,SCHOOL VISIT ,12/11/19,260,42.508257,-83.454752
339,SCHOOL VISIT ,12/11/19,291,42.481261,-83.516392
340,SCHOOL VISIT ,12/11/19,292,42.479326,-83.495504
341,SCHOOL VISIT ,12/11/19,292,42.486569,-83.535075
342,SCHOOL VISIT ,12/11/19,301,42.508257,-83.454752
343,SCHOOL VISIT ,12/11/19,292,42.489376,-83.540248
344,SCHOOL VISIT ,12/12/19,263,42.521202,-83.469492
345,SCHOOL VISIT ,12/12/19,263,42.508257,-83.454752
346,SCHOOL VISIT ,12/12/19,292,42.477863,-83.495421
347,SCHOOL VISIT ,01/13/19,271,42.484082,-83.457421
348,SCHOOL VISIT ,01/14/19,291,42.450681,-83.504154
349,SCHOOL VISIT ,01/14/19,216,42.521202,-83.469492
350,SCHOOL VISIT ,01/14/19,230,42.461427,-83.446007
351,SCHOOL VISIT ,01/15/19,291,42.450681,-83.504154
352,SCHOOL VISIT ,01/16/19,245,42.450681,-83.504154
353,SCHOOL VISIT ,01/17/19,217,42.508257,-83.454752
354,SCHOOL VISIT ,01/17/19,271,42.461427,-83.446007
355,SCHOOL VISIT ,01/17/19,271,42.465061,-83.461523
356,SCHOOL VISIT ,01/17/19,271,42.468514,-83.439433
357,SCHOOL VISIT ,01/17/19,253,42.484082,-83.457421
358,SCHOOL VISIT ,01/17/19,271,42.484082,-83.457421
359,SCHOOL VISIT ,01/18/19,230,42.463211,-83.490985
360,SCHOOL VISIT ,01/18/19,291,42.450681,-83.504154
361,SCHOOL VISIT ,01/18/19,230,42.461427,-83.446007
362,SCHOOL VISIT ,01/18/19,230,42.465061,-83.461523
363,SCHOOL VISIT ,01/19/19,291,42.450681,-83.504154
364,SCHOOL VISIT ,01/20/19,291,42.468959,-83.522221
365,SCHOOL VISIT ,01/21/19,253,42.484082,-83.457421
366,SCHOOL VISIT ,01/22/19,217,42.512892,-83.449649
367,SCHOOL VISIT ,01/22/19,253,42.461427,-83.446007
368,SCHOOL VISIT ,01/22/19,217,42.508257,-83.454752
369,SCHOOL VISIT ,01/22/19,245,42.465061,-83.461523
370,SCHOOL VISIT ,01/23/19,291,42.450681,-83.504154
371,SCHOOL VISIT ,01/23/19,291,42.463211,-83.490985
372,SCHOOL VISIT ,01/24/19,266,42.468959,-83.522221
373,SCHOOL VISIT ,01/24/19,244,42.465061,-83.461523
374,SCHOOL VISIT ,01/24/19,216,42.521202,-83.469492
375,SCHOOL VISIT ,01/24/19,244,42.461427,-83.446007
376,SCHOOL VISIT ,01/24/19,230,42.461427,-83.446007
377,SCHOOL VISIT ,01/25/19,295,42.486569,-83.535075
378,SCHOOL VISIT ,01/25/19,297,42.486569,-83.535075
379,SCHOOL VISIT ,01/25/19,217,42.521202,-83.469492
380,SCHOOL VISIT ,01/25/19,217,42.508257,-83.454752
381,SCHOOL VISIT ,01/25/19,295,42.478430,-83.495453
382,SCHOOL VISIT ,01/25/19,217,42.512892,-83.449649
383,SCHOOL VISIT ,01/25/19,295,42.493266,-83.528514
384,SCHOOL VISIT ,01/25/19,217,42.468959,-83.522221
385,SCHOOL VISIT ,01/25/19,256,42.463211,-83.490985
386,SCHOOL VISIT ,01/27/19,279,42.512892,-83.449649
387,SCHOOL VISIT ,01/29/19,244,42.461427,-83.446007
388,SCHOOL VISIT ,02/13/19,295,42.468959,-83.522221
389,SCHOOL VISIT ,02/13/19,285,42.468959,-83.522221
390,SCHOOL VISIT ,02/14/19,295,42.450681,-83.504154
391,SCHOOL VISIT ,02/15/19,221,42.508257,-83.454752
392,SCHOOL VISIT ,02/15/19,216,42.521202,-83.469492
393,SCHOOL VISIT ,02/20/19,230,42.461427,-83.446007
394,SCHOOL VISIT ,02/20/19,244,42.465061,-83.461523
395,SCHOOL VISIT ,02/21/19,266,42.468959,-83.522221
396,SCHOOL VISIT ,02/22/19,285,42.450681,-83.504154
397,SCHOOL VISIT ,02/22/19,295,42.479326,-83.495504
398,SCHOOL VISIT ,02/22/19,253,42.484082,-83.457421
399,SCHOOL VISIT ,02/22/19,253,42.465061,-83.461523
400,SCHOOL VISIT ,02/22/19,245,42.465061,-83.461523
401,SCHOOL VISIT ,02/25/19,249,42.450681,-83.504154
402,SCHOOL VISIT ,02/25/19,244,42.463211,-83.490985
403,SCHOOL VISIT ,02/25/19,216,42.521202,-83.469492
404,SCHOOL VISIT ,02/25/19,244,42.465061,-83.461523
405,SCHOOL VISIT ,02/25/19,230,42.461427,-83.446007
406,SCHOOL VISIT ,02/25/19,244,42.468514,-83.439433
407,SCHOOL VISIT ,02/25/19,291,42.450681,-83.504154
408,SCHOOL VISIT ,02/25/19,266,42.468959,-83.522221
409,SCHOOL VISIT ,02/26/19,221,42.508257,-83.454752
410,SCHOOL VISIT ,02/26/19,244,42.461427,-83.446007
411,SCHOOL VISIT ,02/26/19,216,42.521202,-83.469492
412,SCHOOL VISIT ,02/26/19,291,42.468959,-83.522221
413,SCHOOL VISIT ,02/26/19,230,42.461427,-83.446007
414,SCHOOL VISIT ,02/27/19,256,42.508257,-83.454752
415,SCHOOL VISIT ,02/27/19,217,42.521202,-83.469492
416,SCHOOL VISIT ,02/27/19,217,42.512892,-83.449649
417,SCHOOL VISIT ,02/27/19,281,42.486569,-83.535075
418,SCHOOL VISIT ,02/27/19,295,42.486569,-83.535075
419,SCHOOL VISIT ,02/27/19,271,42.465061,-83.461523
420,SCHOOL VISIT ,02/27/19,281,42.468959,-83.522221
421,SCHOOL VISIT ,02/27/19,295,42.468959,-83.522221
422,SCHOOL VISIT ,02/27/19,291,42.489376,-83.540248
